Time (EDT),AURSCO - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS
 1 Jan '19 02:20:00,0,0,0,0,0,0,0,0,0,0,0,204379.04,621848.5333,0,0,0,135780.0533,669286.7467,0,1251.253333
 1 Jan '19 02:25:00,0,0,0,0,0,0,0,380.2133333,0,0,0,46676,650841.4933,0,0,0,116765.04,672988.4,0,1411.946667
 1 Jan '19 02:30:00,0,0,0,0,0,0,0,288.2666667,0,0,0,118729.1467,649488.8267,0,0,0,330180.64,592578.16,0,936.64
 1 Jan '19 02:35:00,0,0,0,0,0,0,0,534.1866667,0,0,0,150498.5867,570759.8133,0,0,0,194554.32,535555.2533,0,806.2133333
 1 Jan '19 02:40:00,0,0,0,0,0,0,0,258.7466667,0,0,0,106481.44,385112.8533,0,0,0,149788.7733,529316.3733,0,1727.493333
 1 Jan '19 02:45:00,0,0,0,0,0,0,0,0,0,0,0,8378.666667,466089.6267,0,0,0,121432.32,486703.7867,0,1152.026667
 1 Jan '19 02:50:00,0,0,0,0,0,0,0,0,0,0,0,148162.24,407343.04,0,0,0,192227.9733,617595.6,0,1144.64
 1 Jan '19 02:55:00,0,0,0,0,0,0,0,325.3066667,0,0,0,89980.88,367072.5333,0,0,0,108256.3733,548031.7867,0,1611.893333
 1 Jan '19 03:00:00,0,0,0,0,0,0,0,282.1333333,0,0,0,109398.1333,298203.2,0,0,0,112203.84,484815.5733,0,1756.293333
 1 Jan '19 03:05:00,0,0,0,0,0,0,0,258.2666667,0,0,0,219757.12,435750.6667,0,0,0,301324.48,726692.5867,0,1197.066667
 1 Jan '19 03:10:00,0,0,0,0,0,0,0,531.12,0,0,0,201471.5733,533302.8267,0,0,0,226724.8,699280.3467,0,1196.56
 1 Jan '19 03:15:00,0,0,0,0,0,0,0,257.76,0,0,0,227564.3733,554196.16,0,0,0,235453.12,510082.2133,0,915.0666667
 1 Jan '19 03:20:00,0,0,0,0,0,0,0,1085.546667,0,0,0,380329.1467,370393.6533,0,0,0,247161.7867,451875.3067,0,695.0666667
 1 Jan '19 03:25:00,0,0,0,0,0,0,0,100.9866667,0,0,0,152859.3067,411878.5333,0,0,0,168323.3067,411874.88,0,1142.426667
 1 Jan '19 03:30:00,0,0,0,0,0,0,0,516.4266667,0,0,0,178902.8533,433453.92,0,0,0,205597.0933,304637.3333,0,1189.093333
 1 Jan '19 03:35:00,0,0,0,0,0,0,0,515.68,0,0,3478.666667,222339.3333,405798.9333,0,0,0,255925.7067,346799.9467,0,1581.2
 1 Jan '19 03:40:00,0,0,0,0,0,0,0,356.2133333,0,0,0,103859.4667,508377.84,0,0,0,28355.78667,360940.4,0,978.9866667
 1 Jan '19 03:45:00,0,0,0,0,0,0,0,694.4266667,0,0,0,132493.8933,396338.64,0,0,0,120778.4,383616.4267,0,919.04
 1 Jan '19 03:50:00,0,0,0,0,0,0,0,258.0533333,0,0,0,76974,362890.48,0,0,0,33616.58667,281148.64,0,1039.92
 1 Jan '19 03:55:00,0,0,0,0,0,0,0,360.08,0,0,0,38645.41333,301026.3733,0,0,0,26305.57333,293275.2267,0,1577.813333
 1 Jan '19 04:00:00,0,0,0,0,0,0,0,1833.653333,0,0,0,68730.93333,316760.2933,0,0,0,73155.76,294908.7733,0,1159.546667
 1 Jan '19 04:05:00,0,0,0,0,0,0,0,258.56,0,0,0,165902.1067,326972.2933,0,0,0,86927.01333,320440.8267,0,1140.72
 1 Jan '19 04:10:00,0,0,0,0,0,0,0,98.10666667,0,0,0,3105.12,340106.6667,0,0,0,32188.24,300264.8533,0,1528.586667
 1 Jan '19 04:15:00,0,0,0,0,0,0,0,282.1866667,0,0,0,51319.57333,245404.24,0,0,0,17245.97333,294514.2667,0,1078.186667
 1 Jan '19 04:20:00,0,0,0,0,0,0,0,546.4533333,0,0,0,50535.57333,210864.9333,0,0,0,81287.92,305591.2,0,761.9733333
 1 Jan '19 04:25:00,0,0,0,0,0,0,0,534.48,0,0,0,92287.78667,277962.1333,0,0,0,51580.53333,274485.6533,0,649.3066667
 1 Jan '19 04:30:00,0,0,0,0,0,0,0,0,0,0,0,138621.0667,260554.08,0,0,0,38785.04,359065.6533,0,903.8933333
 1 Jan '19 04:35:00,0,0,0,0,0,0,0,0,0,0,0,34307.76,274136.1867,0,0,0,35034.34667,413874.64,0,968.1866667
 1 Jan '19 04:40:00,0,0,0,0,0,0,0,0,0,0,0,2977.066667,254203.2533,0,0,0,62508.64,392850.0533,0,339.8933333
 1 Jan '19 04:45:00,0,0,0,0,0,0,0,0,0,0,0,71051.68,195252.4267,0,0,0,41710.32,368380.1867,0,739.8133333
 1 Jan '19 04:50:00,0,0,0,0,0,0,0,282.2133333,0,0,1806.96,17231.62667,188152.9067,0,0,0,21791.57333,293241.9467,0,396.72
 1 Jan '19 04:55:00,0,0,0,0,0,0,0,258.3466667,0,0,1876.506667,34770.16,212033.1467,0,0,0,22839.33333,282625.12,0,911.36
